"id","created","edited","cargo_capacity","consumables","cost_in_credits","crew","length","manufacturer","max_atmosphering_speed","model","name","passengers","vehicle_class"
38,"2014-12-19 17:37:37.924","2014-12-20 21:30:21.71","1600","unknown","unknown","1","15","Otoh Gunga Bongameken Cooperative","85","Tribubble bongo","Tribubble bongo","2","submarine"
42,"2014-12-20 10:09:56.095","2014-12-20 21:30:21.712","2","unknown","4000","1","1.5","Razalon","180","FC-20 speeder bike","Sith speeder","0","speeder"
44,"2014-12-20 16:24:16.026","2014-12-20 21:30:21.714","200","none","5750","1","3.68","Mobquet Swoops and Speeders","350","Zephyr-G swoop bike","Zephyr-G swoop bike","1","repulsorcraft"
45,"2014-12-20 17:17:33.526","2014-12-20 21:30:21.716","80","unknown","unknown","1","6.6","Desler Gizh Outworld Mobility Corporation","800","Koro-2 Exodrive airspeeder","Koro-2 Exodrive airspeeder","1","airspeeder"
46,"2014-12-20 17:19:19.991","2014-12-20 21:30:21.719","unknown","unknown","unknown","1","6.23","Narglatch AirTech prefabricated kit","720","XJ-6 airspeeder","XJ-6 airspeeder","1","airspeeder"
50,"2014-12-20 18:01:21.014","2014-12-20 21:30:21.723","170","unknown","unknown","6","17.4","Rothana Heavy Engineering","620","Low Altitude Assault Transport/infrantry","LAAT/i","30","gunship"
51,"2014-12-20 18:02:46.802","2014-12-20 21:30:21.725","40000","unknown","unknown","1","28.82","Rothana Heavy Engineering","620","Low Altitude Assault Transport/carrier","LAAT/c","0","gunship"
53,"2014-12-20 18:10:07.56","2014-12-20 21:30:21.728","10000","21 days","unknown","6","13.2","Rothana Heavy Engineering, Kuat Drive Yards","60","All Terrain Tactical Enforcer","AT-TE","36","walker"
54,"2014-12-20 18:12:32.315","2014-12-20 21:30:21.731","500","7 days","unknown","25","140","Rothana Heavy Engineering","35","Self-Propelled Heavy Artillery","SPHA","30","walker"
55,"2014-12-20 18:15:20.312","2014-12-20 21:30:21.735","unknown","unknown","8000","1","2","Huppla Pasa Tisc Shipwrights Collective","634","Flitknot speeder","Flitknot speeder","0","speeder"
56,"2014-12-20 18:25:44.912","2014-12-20 21:30:21.739","1000","7 days","unknown","2","20","Haor Chall Engineering","880","Sheathipede-class transport shuttle","Neimoidian shuttle","6","transport"
57,"2014-12-20 18:34:12.541","2014-12-20 21:30:21.742","unknown","unknown","unknown","1","9.8","Huppla Pasa Tisc Shipwrights Collective","20000","Nantex-class territorial defense","Geonosian starfighter","0","starfighter"
60,"2014-12-20 19:43:54.87","2014-12-20 21:30:21.745","10","none","15000","1","3.5","Z-Gomot Ternbuell Guppat Corporation","330","Tsmeu-6 personal wheel bike","Tsmeu-6 personal wheel bike","1","wheeled walker"
62,"2014-12-20 19:50:58.559","2014-12-20 21:30:21.749","unknown","unknown","unknown","2","unknown","unknown","unknown","Fire suppression speeder","Emergency Firespeeder","unknown","fire suppression ship"
67,"2014-12-20 20:05:19.992","2014-12-20 21:30:21.752","0","none","20000","1","5.4","Colla Designs, Phlac-Arphocc Automata Industries","1180","tri-fighter","Droid tri-fighter","0","droid starfighter"
69,"2014-12-20 20:20:53.931","2014-12-20 21:30:21.756","50","3 days","12125","2","15.1","Appazanna Engineering Works","420","Oevvaor jet catamaran","Oevvaor jet catamaran","2","airspeeder"
70,"2014-12-20 20:21:55.648","2014-12-20 21:30:21.759","20","none","14750","2","7","Appazanna Engineering Works","310","Raddaugh Gnasp fluttercraft","Raddaugh Gnasp fluttercraft","0","air speeder"
71,"2014-12-20 20:24:45.587","2014-12-20 21:30:21.762","30000","20 days","350000","20","49.4","Kuat Drive Yards","160","HAVw A6 Juggernaut","Clone turbo tank","300","wheeled walker"
72,"2014-12-20 20:26:55.522","2014-12-20 21:30:21.765","none","none","49000","0","10.96","Techno Union","100","NR-N99 Persuader-class droid enforcer","Corporate Alliance tank droid","4","droid tank"
73,"2014-12-20 20:32:05.687","2014-12-20 21:30:21.768","0","none","60000","0","12.3","Baktoid Fleet Ordnance, Haor Chall Engineering","820","HMP droid gunship","Droid gunship","0","airspeeder"
76,"2014-12-20 20:47:49.189","2014-12-20 21:30:21.772","20","1 day","40000","1","3.2","Kuat Drive Yards","90","All Terrain Recon Transport","AT-RT","0","walker"
